File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Users\Ben\Desktop\Arbeit\__Bachelor\amenity\New\Amenity\com.amenity.workbench\src\com\amenity\workbench\dialogs\RenameDialog.java,125,84,62,8,16,1,25,65,0,0
C:\Users\Ben\Desktop\Arbeit\__Bachelor\amenity\New\Amenity\com.amenity.workbench\src\com\amenity\workbench\dialogs\RenameTitleAreaDialog.java,116,87,66,8,14,1,15,45,0,0
C:\Users\Ben\Desktop\Arbeit\__Bachelor\amenity\New\Amenity\com.amenity.workbench\src\com\amenity\workbench\interfaces\IIconFactory.java,36,24,23,0,10,0,2,3,0,0
C:\Users\Ben\Desktop\Arbeit\__Bachelor\amenity\New\Amenity\com.amenity.workbench\src\com\amenity\workbench\preferencepage\SettingsPage1.java,47,38,24,0,9,0,0,0,0,0
C:\Users\Ben\Desktop\Arbeit\__Bachelor\amenity\New\Amenity\com.amenity.workbench\src\com\amenity\workbench\preferencepage\SettingsPage2.java,63,48,33,2,15,0,0,0,0,0
C:\Users\Ben\Desktop\Arbeit\__Bachelor\amenity\New\Amenity\com.amenity.workbench\src\com\amenity\workbench\preferencepage\SettingsPage3.java,40,25,16,1,10,0,5,20,0,0
C:\Users\Ben\Desktop\Arbeit\__Bachelor\amenity\New\Amenity\com.amenity.workbench\src\com\amenity\workbench\properties\SamplePropertyPage.java,126,91,76,4,22,0,13,46,0,0
C:\Users\Ben\Desktop\Arbeit\__Bachelor\amenity\New\Amenity\com.amenity.workbench\src\com\amenity\workbench\supporter\IconFactory.java,192,159,95,24,32,0,1,5,0,0
C:\Users\Ben\Desktop\Arbeit\__Bachelor\amenity\New\Amenity\com.amenity.workbench\src\com\amenity\workbench\supporter\ManageContainerLabelProvider.java,49,41,30,7,8,0,0,0,0,0
C:\Users\Ben\Desktop\Arbeit\__Bachelor\amenity\New\Amenity\com.amenity.workbench\src\com\amenity\workbench\supporter\classes\ContainerClass.java,48,37,26,4,11,0,0,0,0,0
C:\Users\Ben\Desktop\Arbeit\__Bachelor\amenity\New\Amenity\com.amenity.workbench\src\com\amenity\workbench\temp\Dao.java,45,24,20,1,13,0,8,16,0,0
C:\Users\Ben\Desktop\Arbeit\__Bachelor\amenity\New\Amenity\com.amenity.workbench\src\com\amenity\workbench\temp\Logon.java,41,30,24,1,11,0,0,0,0,0
C:\Users\Ben\Desktop\Arbeit\__Bachelor\amenity\New\Amenity\com.amenity.workbench\src\com\amenity\workbench\views\AssignFunctionsView.java,1037,760,577,96,176,0,101,397,0,0
C:\Users\Ben\Desktop\Arbeit\__Bachelor\amenity\New\Amenity\com.amenity.workbench\src\com\amenity\workbench\views\CompareSnapshotsView.java,275,222,183,6,43,0,10,28,0,0
C:\Users\Ben\Desktop\Arbeit\__Bachelor\amenity\New\Amenity\com.amenity.workbench\src\com\amenity\workbench\views\ContainerView.java,523,357,298,16,66,1,100,269,0,0
C:\Users\Ben\Desktop\Arbeit\__Bachelor\amenity\New\Amenity\com.amenity.workbench\src\com\amenity\workbench\views\EventLogView.java,23,13,7,0,8,0,2,8,0,0
